time_s,energy,centroid,onset,harm_flux,perc_onset,melody_f0,contrast
126.00,0.18017,1846.76663,172.06494,0.11996,147.25135,708.44238,2.89927
126.50,0.13698,2210.32463,117.66286,0.22092,174.39480,872.09473,3.07086
127.00,0.16569,1679.08203,156.41995,0.23800,149.13779,613.69629,3.17511
127.50,0.15624,2281.77951,173.16335,0.14986,275.11276,228.25195,2.92621
128.00,0.09225,2403.95679,87.11117,0.24062,249.10127,383.29102,2.57186
128.50,0.12741,1836.58742,143.42407,0.19469,120.85993,546.94336,2.70983
129.00,0.18715,1453.60682,175.58491,0.25085,124.83890,635.22949,3.26115
129.50,0.10615,2078.20664,94.84879,0.22260,247.48778,419.89746,3.27090
130.00,0.12050,1910.84173,74.76761,0.22029,158.98229,602.92969,3.04041
130.50,0.17667,1749.11522,185.97981,0.15138,301.86146,346.68457,3.02222
131.00,0.14548,1621.95148,137.23243,0.22284,129.53647,325.15137,2.88407
131.50,0.10071,1907.43975,49.24676,0.11744,135.99760,254.09180,2.94827
132.00,0.14282,1675.18767,144.42863,0.21946,115.01022,325.15137,3.01047
132.50,0.16044,2017.05570,145.71241,0.21734,113.83071,428.51074,2.72894
133.00,0.11036,2729.78639,77.18428,0.14841,289.16052,546.94336,2.64419
133.50,0.06405,2074.83583,33.14710,0.12108,144.85640,96.89941,2.69548
134.00,0.12549,2342.40232,118.69978,0.17640,245.87115,708.44238,3.03625
134.50,0.14129,1930.29259,136.81079,0.35316,111.13719,708.44238,3.34607
135.00,0.14229,2162.20658,129.39980,0.20395,177.01518,514.64355,3.30851
135.50,0.10415,2612.84803,123.80615,0.28051,305.01358,419.89746,3.35354
136.00,0.10661,1763.51652,97.97361,0.28531,112.69007,447.89062,3.50960
136.50,0.07468,2383.34964,29.16793,0.12242,63.90936,320.84473,2.84030
137.00,0.13769,2747.34734,102.81674,0.14930,217.21110,447.89062,3.11076
137.50,0.08612,2185.69269,62.77959,0.22363,68.30667,370.37109,2.85083
138.00,0.07314,2710.97179,89.27085,0.29944,241.71497,338.07129,2.81665
138.50,0.07828,2373.76427,56.28966,0.14441,81.84568,467.27051,2.63095
139.00,0.09934,1530.63666,54.27794,0.13332,47.64074,391.90430,2.74617
139.50,0.03283,1825.79337,14.31574,0.12077,26.79556,247.63184,2.85210
140.00,0.03924,2670.56081,38.82106,0.13971,67.32941,322.99805,2.57940
140.50,0.12805,3197.65786,113.37454,0.19548,281.79888,693.36914,3.18247
141.00,0.10342,2524.88221,80.24254,0.20901,123.83857,480.19043,3.02533
141.50,0.13493,2272.21674,94.68496,0.17237,190.44599,521.10352,3.10534
142.00,0.11763,2359.28191,124.46125,0.30692,137.93936,467.27051,3.18734
142.50,0.12596,2428.39546,100.47918,0.20018,209.43766,682.60254,3.05621
143.00,0.08960,2001.60551,58.78227,0.16160,88.88000,359.60449,3.03074
143.50,0.05232,2396.50317,56.56506,0.24345,91.40427,316.53809,3.00857
144.00,0.06805,2739.29221,85.56005,0.36702,188.11731,340.22461,2.95960
144.50,0.06276,3123.78253,74.29089,0.21688,101.54869,318.69141,2.77284
145.00,0.10842,1821.44403,128.84600,0.40893,74.64593,445.73730,2.74702
145.50,0.05755,2258.19582,56.48369,0.21128,61.86898,262.70508,2.66609
146.00,0.08054,1757.53061,37.74971,0.09140,50.17509,387.59766,2.68430
146.50,0.07814,1660.07353,46.48409,0.10493,33.14642,391.90430,2.68340
147.00,0.09566,2668.68601,67.52342,0.14146,219.78500,391.90430,2.86028
147.50,0.10828,3426.12478,68.42422,0.12647,291.90020,215.33203,2.73095
148.00,0.14016,3000.99091,94.65989,0.19484,246.40132,652.45605,2.46184
148.50,0.12170,2820.34097,131.19653,0.23861,211.51536,447.89062,2.89960
149.00,0.11322,1898.07136,97.34599,0.19077,89.49929,430.66406,3.00114
149.50,0.06117,1429.59070,25.90928,0.05860,38.18754,137.81250,2.89048
150.00,0.08837,1983.76641,93.31200,0.16462,175.18174,437.12402,3.35295
150.50,0.10429,3649.94949,117.54102,0.30347,302.98417,359.60449,3.02665
151.00,0.07810,2028.12719,79.65279,0.24618,116.96737,303.61816,2.89650
151.50,0.12471,2311.79387,116.57996,0.19865,236.25047,389.75098,3.24377
152.00,0.17680,1895.35175,143.10764,0.25886,146.70176,829.02832,3.17421
152.50,0.09218,2204.92463,72.19712,0.16664,78.17242,273.47168,2.75369
153.00,0.05616,1980.96280,38.62428,0.13016,126.67214,195.95215,2.95742
153.50,0.11689,2149.68321,128.33517,0.26589,156.84120,546.94336,3.44737
154.00,0.10797,3187.29100,87.33359,0.17957,319.81207,245.47852,2.95354
154.50,0.08758,2137.11943,65.47356,0.10815,172.58208,208.87207,2.96099
155.00,0.11854,2347.35646,81.49020,0.08221,180.49329,469.42383,3.15510
155.50,0.11581,1891.72997,90.63445,0.22568,132.37986,465.11719,3.22448
156.00,0.11094,1581.89792,91.75877,0.20333,184.30846,333.76465,3.76786
156.50,0.09911,2187.87346,86.08574,0.16160,181.65917,284.23828,3.47000
157.00,0.08990,1863.33370,58.74785,0.13287,94.70065,241.17188,3.14805
157.50,0.09768,1456.57644,90.90145,0.22954,68.72684,441.43066,2.96187
158.00,0.07733,2111.19976,66.36864,0.18557,117.56696,254.09180,2.96659
158.50,0.08738,1951.28260,43.75008,0.06621,69.90902,213.17871,3.23214
159.00,0.08544,1795.22689,50.94819,0.08609,64.24063,135.65918,3.09160
159.50,0.07390,1909.88576,54.46376,0.14297,225.10338,137.81250,2.83482
160.00,0.04600,1843.96903,34.65482,0.10254,35.88200,232.55859,3.11299
160.50,0.13039,2000.19020,115.40823,0.11148,244.96449,245.47852,2.62131
161.00,0.15766,2402.46934,130.35800,0.17505,196.08284,583.54980,2.82554
161.50,0.12492,2407.13533,99.98641,0.25259,196.53879,803.18848,2.82029
162.00,0.19110,1955.97602,210.96720,0.22053,285.90356,191.64551,2.92630
162.50,0.16920,1866.12125,166.91865,0.13574,141.72550,590.00977,3.25405
163.00,0.11696,2423.78848,117.69849,0.17442,327.16559,572.78320,2.94455
163.50,0.13811,1821.72880,136.78727,0.18938,205.35490,437.12402,3.15445
164.00,0.13110,1651.24771,126.60263,0.22988,102.99417,366.06445,2.69698
164.50,0.14291,2140.58673,108.72477,0.18653,254.00638,626.61621,3.05562
165.00,0.13147,3112.00058,153.12597,0.16327,329.56225,247.63184,2.69004
165.50,0.17604,2090.75386,185.98625,0.20303,228.20190,607.23633,2.90487
166.00,0.12464,2231.55942,126.89635,0.15431,199.49533,803.18848,2.93282
166.50,0.07393,2257.31098,54.23000,0.12270,245.99238,256.24512,2.93428
167.00,0.17249,2204.43271,181.68923,0.17651,256.44961,318.69141,3.16434
167.50,0.13093,1673.00427,119.05417,0.23513,148.75961,437.12402,3.05043
168.00,0.11655,2197.68104,88.29386,0.19250,260.56406,553.40332,3.12498
168.50,0.16103,1965.27538,148.74798,0.13565,192.76186,322.99805,3.32815
169.00,0.15203,2195.99916,140.31511,0.17283,268.52747,325.15137,2.76012
169.50,0.10139,2285.17898,85.85723,0.19515,161.31991,316.53809,2.78590
170.00,0.12164,1545.68073,116.42589,0.16366,84.01450,239.01855,3.25643
170.50,0.15626,1412.25690,127.62559,0.13212,94.70118,462.96387,3.18616
171.00,0.08836,3556.87289,58.63342,0.12069,319.42035,191.64551,2.64542
171.50,0.12320,2103.86255,102.53743,0.15380,343.96090,284.23828,2.91189
172.00,0.15099,1711.43113,143.08658,0.15969,165.87185,239.01855,2.69985
